id,reaction,category,pathways,comment
A1,H2(aq)+0.5O2(aq)?H2O(l),Hydrogen and oxygen metabolic reactions,hydrogen_oxidation,
A2,H2O2(aq)+H2(aq)?2H2O(l),Hydrogen and oxygen metabolic reactions,NA,not sure…
B1,NO3?+H2(aq)?NO2?+H2O(l),Inorganic nitrogen metabolic reactions,nitrate_reduction,
B2,NO3?+2.5H2(aq)+H+?0.5N2(aq)+3H2O(l),Inorganic nitrogen metabolic reactions,denitrification,
B3,NO3?+4H2(aq)+H+?NH3(aq)+3H2O(l),Inorganic nitrogen metabolic reactions,nitrate_reduction_to_ammonia,
B4,NO2?+0.5O2(aq)?NO3?,Inorganic nitrogen metabolic reactions,nitrite_oxidation,
B5,NO2?+0.5H2(aq)+H+?NO(aq)+H2O(l),Inorganic nitrogen metabolic reactions,nitrite_reduction,
B6,NO2?+1.5H2(aq)+H+?0.5N2(aq)+2H2O(l),Inorganic nitrogen metabolic reactions,nitrite_reduction,
B7,NO(aq)+0.5H2(aq)?0.5N2O(aq)+0.5H2O(l),Inorganic nitrogen metabolic reactions,nitric_oxide_reduction,
B8,0.5N2O(aq)+0.5H2(aq)?0.5N2(aq)+0.5H2O(l),Inorganic nitrogen metabolic reactions,nitrous_oxide_reduction,
B9,0.5N2(aq)+1.5H2(aq)?NH3(aq),Inorganic nitrogen metabolic reactions,nitrogen_fixation,
B10,NH3(aq)+1.5O2(aq)?H++NO2?+H2O(l),Inorganic nitrogen metabolic reactions,nitrification,
B11,NH3(aq)+NO2?+H+?N2(aq)+2H2O(l),Inorganic nitrogen metabolic reactions,annamox,
C1,SO42?+4H2(aq)+2H+?H2S(aq)+4H2O(l),Inorganic sulfur metabolic reactions,sulfate_reduction,
C2,4SO32?+2H+?3SO42?+H2S(aq),Inorganic sulfur metabolic reactions,sulfite_oxidation,
C3,SO32?+3H2(aq)+2H+?H2S(aq)+3H2O(l),Inorganic sulfur metabolic reactions,sulfite_reduction,
C4,SO2(aq)+H2O(l)+S(s)?H2S2O3(aq),Inorganic sulfur metabolic reactions,NA,not sure…
C5,S2O32?+2O2(aq)+H2O(l)?2SO42?+2H+,Inorganic sulfur metabolic reactions,thiosulfate_oxidation,
C6,6S2O32?+5O2(aq)?4SO42?+2S4O62?,Inorganic sulfur metabolic reactions,thiosulfate_oxidation,
C7,5S2O32?+H2O(l)+4O2(aq)?6SO42?+2H++4S(s),Inorganic sulfur metabolic reactions,thiosulfate_oxidation,
C8,S2O32?+H2O(l)?SO42?+H2S(aq),Inorganic sulfur metabolic reactions,thiosulfate_disproportionation,
C9,S2O32??SO32?+S(s),Inorganic sulfur metabolic reactions,NA,not sure…
C10,S2O32?+2H++4H2(aq)?2H2S(aq)+3H2O(l),Inorganic sulfur metabolic reactions,thiosulfate_reduction,
C11,4S2O42?+4H2O(l)?3H2S(aq)+5SO42?+2H+,Inorganic sulfur metabolic reactions,dithionite_disproportionation,
C12,S3O62?+2O2(aq)+2H2O(l)?3SO42?+4H+,Inorganic sulfur metabolic reactions,trithionate_oxidation,
C13,S3O62?+H2O(l)=SO42?+S2O32?+2H+,Inorganic sulfur metabolic reactions,trithionate_oxidation,
C14,2S4O62?+6H2O(l)+7O2(aq)?8SO42?+12H+,Inorganic sulfur metabolic reactions,tetrathionate_oxidation,
C15,S4O62?+H2(aq)?2S2O32?+2H+,Inorganic sulfur metabolic reactions,tetrathionate_reduction,
C16,S(s)+1.5O2(aq)+H2O(l)?SO42?+2H+,Inorganic sulfur metabolic reactions,sulfur_oxidation,
C17,4S(s)+4H2O(l)?SO42?+3H2S(aq)+2H+,Inorganic sulfur metabolic reactions,sulfur_oxidation,
C18,S(s)+O2(aq)+H2O(l)?H++HSO3?,Inorganic sulfur metabolic reactions,sulfur_oxidation,
C19,S(s)+H2(aq)?H2S(aq),Inorganic sulfur metabolic reactions,sulfur_reduction,
C20,H2S(aq)+2O2(aq)?SO42?+2H+,Inorganic sulfur metabolic reactions,sulfide_oxidation,
C21,2H2S(aq)+2O2(aq)?S2O32?+H2O(l)+2H+,Inorganic sulfur metabolic reactions,sulfide_oxidation,
C22,H2S(aq)+0.5O2(aq)?S(s)+H2O(l),Inorganic sulfur metabolic reactions,sulfide_oxidation,
C23,5S2O32?+8NO3?+H2O(l)?10SO42?+4N2(aq)+2H+,Mixed metabolic reactions,"thiosulfate_oxidation, denitrification",
C24,5S(s)+6NO3?+2H2O(l)?5SO42?+3N2(aq)+4H+,Mixed metabolic reactions,"sulfur_oxidation, denitrification",
C25,NO3?+H2S(aq)?NO2?+H2O(l)+S(s),Mixed metabolic reactions,"sulfide_oxidation, nitrate_reduction",
C26,2NO3?+5H2S(aq)+2H+?N2(aq)+5S(s)+6H2O(l),Mixed metabolic reactions,"sulfide_oxidation, denitrification",
C27,8NO3?+5H2S(aq)?4N2(aq)+5SO42?+4H2O(l)+2H+,Mixed metabolic reactions,"sulfide_oxidation, denitrification",
D1,CO2(aq)+4H2(aq)?CH4(aq)+2H2O(l),Inorganic carbon metabolic reactions,methanogenesis_H2CO2,
D2,COS(g)+2O2(aq)+H2O(l)?SO42?+CO2(aq)+2H+,Inorganic carbon metabolic reactions,carbonylsulfide_oxidation,
D3,COS(g)+H2O(l)?CO2(aq)+H2S(aq),Inorganic carbon metabolic reactions,carbonylsulfide_reduction,
D4,CO(aq)+0.5O2(aq)?CO2(aq),Inorganic carbon metabolic reactions,carbonmonoxide_oxidation,
D5,4CO(aq)+2H2O(l)?CH4(aq)+3CO2(aq),Inorganic carbon metabolic reactions,"carbonmonoxide_reduction, methanogenesis",
D6,CO(aq)+3H2(aq)?CH4(aq)+H2O(l),Inorganic carbon metabolic reactions,"carbonmonoxide_reduction, methanogenesis",
D7,SCN?+2O2(aq)+2H2O(l)?SO42?+CO2(aq)+NH4+,Inorganic carbon metabolic reactions,thiocyanate_oxidation,
D8,SCN?+H2O(l)?H2S(aq)+OCN?,Inorganic carbon metabolic reactions,thiocyanate_reduction,
D9,CH4(aq)+2O2(aq)?CO2(aq)+2H2O(l),Inorganic carbon metabolic reactions,methane_oxidation,
E1,4H2(aq)+2CO2(aq)?acetic acid(aq)+2H2O(l),Metabolic reactions involving organic and inorganic carbon,acetogenesis,
E2,4formic acid(aq)?CH4(aq)+3CO2(aq)+2H2O(l),Metabolic reactions involving organic and inorganic carbon,methanogenesis,
E3,acetic acid(aq)+2O2(aq)?2CO2(aq)+2H2O(l),Metabolic reactions involving organic and inorganic carbon,aerobic_chemoheterotophy,
E4,acetic acid(aq)?CH4(aq)+CO2(aq),Metabolic reactions involving organic and inorganic carbon,methanogenesis_acetoclastic,
E5,propanoic acid(aq)+3.5O2(aq)?3CO2(aq)+3H2O(l),Metabolic reactions involving organic and inorganic carbon,aerobic_chemoheterotophy,
E6,2lactic acid(aq)?3acetic acid(aq),Metabolic reactions involving organic and inorganic carbon,acetogenesis,
E7,2succinic acid(aq)+7O2(aq)?8CO2(aq)+6H2O(l),Metabolic reactions involving organic and inorganic carbon,aerobic_chemoheterotophy,
E8,methanol(aq)+H2(aq)?CH4(aq)+H2O(l),Metabolic reactions involving organic and inorganic carbon,methanogenesis,
E9,4methanol(aq)?3CH4(aq)+CO2(aq)+2H2O(l),Metabolic reactions involving organic and inorganic carbon,methanogenesis,
E10,2ethanol(aq)+2CO2(aq)?3acetic acid(aq),Metabolic reactions involving organic and inorganic carbon,acetogenesis,
E11,2ethanol(aq)+CO2(aq)?2acetic acid(aq)+CH4(aq),Metabolic reactions involving organic and inorganic carbon,"acetogenesis, methanogenesis",
E12,4(2?)propanol(aq)+3CO2(aq)+2H2O(l)?3CH4(aq)+4lactic acid(aq),Metabolic reactions involving organic and inorganic carbon,methanogenesis,
E13,formic acid(aq)+NO3??NO2?+H2O(l)+CO2(aq),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrate_reduction,
E14,4formic acid(aq)+NO3?+H+?NH3(aq)+4CO2(aq)+3H2O,Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrate_reduction_to_ammonia,
E15,acetic acid(aq)+4NO3??2CO2(aq)+4NO2?+2H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrate_reduction,
E16,5acetic acid(aq)+8NO3?+8H+?4N2(aq)+10CO2(aq)+14H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,denitrification,
E17,acetic acid(aq)+NO3?+H+?2CO2(aq)+NH3(aq)+H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrate_reduction_to_ammonia,
E18,2.5propanoic acid(aq)+7NO3?+7H+?3.5N2(aq)+7.5CO2(aq)+11H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,denitrification,
E19,lactic acid(aq)+6NO3??6NO2?+3H2O(l)+3CO2(aq),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrate_reduction,
E20,lactic acid(aq)+2NO3??acetic acid(aq)+2NO2?+CO2(aq)+H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrate_reduction,
E21,4lactic acid(aq)+2NO3?+2H+?4acetic acid(aq)+2NH3(aq)+4CO2(aq)+2H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrate_reduction_to_ammonia,
E22,3lactic acid(aq)+2NO2?+2H+?3acetic acid(aq)+2NH3(aq)+3CO2(aq)+H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrite_reduction_to_ammonia,
E23,2.5succinic acid(aq)+7NO3?+7H+?3.5N2(aq)+10CO2(aq)+11H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,denitrification,
E24,benzoic acid(aq)+3.75NO3?+3.75H++0.75H2O(l)?3.75NH3(aq)+7CO2(aq),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,nitrate_reduction_to_ammonia,
E25,4methanamine(aq)+2H2O(l)?3CH4(aq)+CO2(aq)+4NH3(aq),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,methanogenesis,
E26,ethylbenzene(aq)+8.4NO3?+8.4H+?8CO2(aq)+4.2N2(aq)+9.2H2O(l),Coupled metabolic reactions involving organic carbon and inorganic nitrogen,denitrification,
E27,CH4(aq)+SO42?+2H+?H2S(aq)+CO2(aq)+2H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,"methane_oxidation, sulfate_reduction",
E28,4formic acid(aq)+SO42?+2H+?H2S(aq)+4CO2(aq)+4H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfate_reduction,
E29,3formic acid(aq)+SO32?+2H+?3CO2(aq)+H2S(aq)+3H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfite_reduction,
E30,4formic acid(aq)+S2O32?+2H+?2H2S(aq)+4CO2(aq)+3H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,thiosulfate_reduction,
E31,formic acid(aq)+S(s)?CO2(aq)+H2S(aq),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfur_reduction,
E32,acetic acid(aq)+2H++SO42??2CO2(aq)+H2S(aq)+2H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfate_reduction,
E33,3acetic acid(aq)+4SO32?+8H+?6CO2(aq)+4H2S(aq)+6H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfite_reduction,
E34,acetic acid(aq)+S2O32?+2H+?2H2S(aq)+2CO2(aq)+H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,thiosulfate_reduction,
E35,acetic acid(aq)+4S(s)+2H2O(l)?2CO2(aq)+4H2S(aq),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfur_reduction,
E36,4propanoic acid(aq)+7SO42?+14H+?7H2S(aq)+12CO2(aq)+12H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfate_reduction,
E37,4propanoic acid(aq)+3SO42?+6H+?4acetic acid(aq)+4CO2(aq)+3H2S(aq)+4H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfate_reduction,
E38,3propanoic acid(aq)+7SO32?+14H+?7H2S(aq)+9CO2(aq)+9H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfite_reduction,
E39,propanoic acid(aq)+SO32?+2H+?acetic acid(aq)+H2S(aq)+CO2(aq)+H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfite_reduction,
E40,4propanoic acid(aq)+7S2O32?+14H+?14H2S(aq)+12CO2(aq)+5H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,thiosulfate_reduction,
E41,4propanoic acid(aq)+3S2O32?+6H+?4acetic acid(aq)+6H2S(aq)+4CO2(aq)+H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,thiosulfate_reduction,
E42,propanoic acid(aq)+7S(s)+4H2O(l)?3CO2(aq)+7H2S(aq),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfur_reduction,
E43,2lactic acid(aq)+3SO42?+6H+?6CO2(aq)+3H2S(aq)+6H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfate_reduction,
E44,lactic acid(aq)+0.5SO42?+H+?acetic acid(aq)+0.5H2S(aq)+CO2(aq)+H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfate_reduction,
E45,lactic acid(aq)+2SO32?+4H+?3CO2(aq)+2H2S(aq)+3H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfite_reduction,
E46,1.5lactic acid(aq)+SO32?+2H+?1.5acetic acid(aq)+1.5CO2(aq)+H2S(aq)+1.5H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfite_reduction,
E47,2lactic acid(aq)+3S2O32?+6H+?6H2S(aq)+6CO2(aq)+3H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,thiosulfate_reduction,
E48,2lactic acid(aq)+S2O32?+2H+?2H2S(aq)+2acetic acid(aq)+2CO2(aq)+H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,thiosulfate_reduction,
E49,lactic acid(aq)+6S(s)+3H2O(l)?3CO2(aq)+6H2S(aq),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfur_reduction,
E50,lactic acid(aq)+2S(s)+H2O(l)?2H2S(aq)+acetic acid(aq)+CO2(aq),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfur_reduction,
E51,2butanoic acid(aq)+5SO42?+10H+?5H2S(aq)+8CO2(aq)+8H2O,Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfate_reduction,
E52,butanoic acid(aq)+1.5SO42?+3H+?acetic acid(aq)+2CO2(aq)+1.5H2S(aq)+2H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfate_reduction,
E53,1.5butanoic acid(aq)+5SO32?+10H+?5H2S(aq)+6CO2(aq)+6H2O,Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfite_reduction,
E54,butanoic acid(aq)+2SO32?+4H+?acetic acid(aq)+2CO2(aq)+2H2S(aq)+2H2O(l),Coupled metabolic reactions involving organic carbon and inorganic sulfur,sulfite_reduction,
E55,2butanoic acid(aq)+5S2O32?+10H+?10H2S(aq)+8CO2(aq)+3H2O,Coupled metabolic reactions involving organic carbon and inorganic sulfur,thiosulfate_reduction,
