dsmz_list,dsmz_risk_category,A,B,C,D,E,F,G,H,I,overall_score
CORYNEBACTERIUM TESTUDINORIS,2,-,-,-,2,2,2,2,-,2,2
CORYNEBACTERIUM THOMSSENII,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM TUBERCULOSTEARICUM,-,-,2,2,2,2,2,-,2,NA,2
CORYNEBACTERIUM TUSCANIENSE,2,-,-,-,2,2,2,2,-,2,2
CORYNEBACTERIUM ULCERANS,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM UREALYTICUM,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM XEROSIS,2,2,1,2,2,2,2,2,2,2,2
COUCHIOPLANES,1,-,-,1,-,-,-,-,1,-,1
COWDRIA RUMINANTIUM,-,2,-,-,-,3,-,-,2,-,2
COXIELLA BURNETII,-,3,-,3,3,3,3,3,3,3,3
CRABTREELLA,1,-,-,-,-,-,-,-,-,-,1
CRONOBACTER DUBLINENSIS,2,-,-,-,-,-,-,-,-,-,2
CRONOBACTER MALONATICUS,2,-,-,-,-,-,-,-,-,-,2
CRONOBACTER MUYTJENSII,2,-,-,-,-,-,-,-,-,-,2
CRONOBACTER SAKAZAKII,2,-,-,-,-,-,-,-,-,-,2
CRONOBACTER TURICENSIS,2,-,-,-,-,-,-,-,-,-,2
CROSSIELLA EQUI,2,-,-,2,-,-,-,-,-,-,2
CRUSTIBACTER,1,-,-,-,-,-,-,-,-,-,1
CRUSTIBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
CRYOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
CRYPTANAEROBACTER,1,-,-,-,-,-,-,-,-,-,1
CRYPTOBACTERIUM PAUCULUS,1,-,-,1,-,-,-,-,-,-,1
CRYPTOSPORANGIUM,1,-,-,1,-,-,-,-,-,-,1
CUCUMIBACTER,1,-,-,-,-,-,-,-,-,-,1
CUPRIAVIDUS,2,-,-,-,-,-,-,-,-,-,2
CUPRIAVIDUS RESPIRACULI,2,-,-,-,-,-,-,-,-,-,2
CURTOBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
CURVIBACTER,1,-,-,-,-,-,-,-,-,-,1
CYCLOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
CYSTOBACTER,1,-,-,1,-,-,-,-,1,-,1
CYTOPHAGA ALLERGINAE,2,-,-,-,-,2,-,-,-,-,2
CYTOPHAGA COLUMNARIS,-,-,-,-,-,-,-,-,2,-,2
CYTOPHAGA PSYCHROPHILA,-,-,-,-,-,-,-,-,2,-,2
,,,,,,,,,,,NA
DAEGUIA,1,-,-,-,-,-,-,-,-,-,1
DASANIA,1,-,-,-,-,-,-,-,-,-,1
DECHLOROMONAS,1,-,-,1,-,-,-,-,-,-,1
DECHLOROSOMA,1,-,-,-,-,-,-,-,-,-,1
DEEFGEA,1,-,-,-,-,-,-,-,-,-,1
DEFERRIBACTER,1,-,-,1,-,-,-,-,1,-,1
DEFLUVIBACTER,1,-,-,-,-,-,-,-,-,-,1
DEHALOBACTER,1,-,-,1,-,-,-,-,-,-,1
DEHALOSPIRILLUM,1,-,-,-,-,-,-,-,-,-,1
DEINOBACTER,1,-,-,-,-,-,-,-,-,-,1
DEINOCOCCUS,1,-,1,1,-,-,-,-,1,-,1
DELEYA AQUAMARINA,1,2,-,-,-,-,-,-,-,-,1
DELFTIA ACIDOVORANS,2,-,1,2,-,-,-,-,-,-,2
DEMEQUINA,1,-,-,-,-,-,-,-,-,-,1
DEMETRIA,1,-,-,1,-,-,-,-,1,-,1
DENDROSPOROBACTER,1,-,-,1,-,-,-,-,-,-,1
DENITRATISOMA,1,-,-,-,-,-,-,-,-,-,1
DENITROBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
DENITROVIBRIO,1,-,-,1,-,-,-,-,-,-,1
DERMABACTER,1,-,-,1,-,-,-,-,1,-,1
DERMACOCCUS,1,-,-,1,-,-,-,-,1,-,1
DERMATOPHILUS CHELONAE,2,2,-,2,-,2,-,-,2,-,2
DERMATOPHILUS CONGOLENSIS,2,2,-,2,-,2  3,-,-,2,-,2
DERXIA,1,-,-,1,-,-,-,-,1,-,1
DESEMZIA,1,-,-,1,-,-,-,-,-,-,1
DESMOSPORA,1,-,-,-,-,-,-,-,-,-,1
DESULFACINUM,1,-,-,1,-,-,-,-,1,-,1
DESULFARCULUS,1,-,-,-,-,-,-,-,-,-,1
DESULFATIFERULA,1,-,-,-,-,-,-,-,-,-,1
DESULFATIRHABDIUM,1,-,-,-,-,-,-,-,-,-,1
DESULFITIBACTER,1,-,-,-,-,-,-,-,-,-,1
DESULFITOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
DESULFOARCULUS,1,-,-,-,-,-,-,-,-,-,1
DESULFOBACCA,1,-,-,1,-,-,-,-,-,-,1
DESULFOBACTER,1,-,-,1,-,-,-,-,1,-,1
DESULFOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
DESULFOBACULA,1,-,-,1,-,-,-,-,-,-,1
DESULFOBULBUS,1,-,-,1,-,-,-,-,1,-,1
DESULFOCAPSA,1,-,-,1,-,-,-,-,1,-,1
DESULFOCELLA,1,-,-,1,-,-,-,-,-,-,1
DESULFOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
DESULFOFABA,1,-,-,1,-,-,-,-,-,-,1
DESULFOFRIGUS,1,-,-,1,-,-,-,-,-,-,1
DESULFOFUSTIS,1,-,-,1,-,-,-,-,1,-,1
DESULFOGLAEBA,1,-,-,-,-,-,-,-,-,-,1
DESULFOHALOBIUM,1,-,-,1,-,-,-,-,1,-,1
DESULFOLUNA,1,-,-,-,-,-,-,-,-,-,1
DESULFOMICROBIUM ORALE,2,-,-,2,-,-,-,-,-,-,2
DESULFOMONAS,1,-,-,-,-,-,-,-,1,-,1
DESULFOMONILE,1,-,-,1,-,-,-,-,1,-,1
DESULFOMUSA,1,-,-,-,-,-,-,-,-,-,1
DESULFONATRONAVIRGA,1,-,-,-,-,-,-,-,-,-,1
DESULFONATRONOSPIRA,1,-,-,,-,-,-,-,-,-,1
DESULFONATRONOVIBRIO,1,-,-,1,-,-,-,-,1,-,1
DESULFONATRONUM,1,-,-,1,-,-,-,-,-,-,1
DESULFONAUTICUS,1,-,-,1,-,-,-,-,-,-,1
DESULFONISPORA,1,-,-,1,-,-,-,-,-,-,1
DESULFOPILA,1,-,-,-,-,-,-,-,-,-,1
DESULFOREGULA,1,-,-,1,-,-,-,-,-,-,1
DESULFORHABDUS,1,-,-,1,-,-,-,-,1,-,1
DESULFORHOPALUS,1,-,-,1,-,-,-,-,-,-,1
DESULFOSARCINA,1,-,-,1,-,-,-,-,1,-,1
DESULFOSPIRA,1,-,-,1,-,-,-,-,1,-,1
DESULFOSPOROSINUS,1,-,-,1,-,-,-,-,1,-,1
DESULFOTALEA,1,-,-,1,-,-,-,-,-,-,1
DESULFOTHERMUS,1,-,-,-,-,-,-,-,-,-,1
DESULFOTIGNUM,1,-,-,1,-,-,-,-,-,-,1
DESULFOTOMACULUM,1,-,-,1,-,-,-,-,1,-,1
DESULFOVERMICULUS,1,-,-,-,-,-,-,-,-,-,1
DESULFOVIBRIO,1,-,-,1,-,-,-,-,1,-,1
DESULFOVIRGA,1,-,-,1,-,-,-,-,-,-,1
DESULFOVIRGULA,1,-,-,-,-,-,-,-,-,-,1
DESULFURELLA,1,-,-,1,-,-,-,-,1,-,1
DESULFURISPORA,1,-,-,-,-,-,-,-,-,-,1
DESULFURIVIBRIO,1,-,-,-,-,-,-,-,-,-,1
DESULFUROBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
DESULFUROMONAS,1,-,-,1,-,-,-,-,1,-,1
DESULFUROMUSA,1,-,-,1,-,-,-,-,1,-,1
DETHIOBACTER,1,-,-,-,-,-,-,-,-,-,1
DETHIOSULFATIBACTER,1,-,-,-,-,-,-,-,-,-,1
DETHIOSULFOVIBRIO,1,-,-,1,-,-,-,-,1,-,1
DEVOSIA,1,-,-,1,-,-,-,-,1,-,1
DIALISTER INVISUS,2,-,-,2,-,-,-,-,-,-,2
DIALISTER PNEUMOSINTES,2,2,-,2,-,-,-,-,2,-,2
DICHELOBACTER NODOSUS,1,2,-,2,-,2,-,-,2,-,1
DICHOTOMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
DICKEYA,1,-,-,-,-,-,-,-,-,-,1
DICTYOGLOMUS,1,-,-,1,-,-,-,-,1,-,1
DIETZIA CINNAMEA,2,-,-,-,-,-,-,-,1,-,1
DINOROSEOBACTER,1,-,-,-,-,-,-,-,-,-,1
DIPLOCOCCUS,1,-,-,-,-,-,-,-,-,-,1
DOKDOA,1,-,-,-,-,-,-,-,-,-,1
DOKDONELLA,1,-,-,-,-,-,-,-,-,-,1
DOKDONIA,1,-,-,-,-,-,-,-,-,-,1
DOLOSICOCCUS,1,-,-,-,-,-,-,-,1,-,1
DOLOSIGRANULUM PIGRUM,-,-,-,2,-,-,-,-,2,-,2
DONGHAEANA,1,-,-,-,-,-,-,-,-,-,1
DOREA,1,-,-,1,-,-,-,-,-,-,1
DUGANELLA,1,-,-,1,-,-,-,-,1,-,1
DYADOBACTER,1,-,-,1,-,-,-,-,-,-,1
DYELLA,1,-,-,-,-,-,-,-,-,-,1
,,,,,,,,,,,NA
EBERTHELLA,1,-,-,-,-,-,-,-,-,-,1
ECHINICOLA,1,-,-,-,-,-,-,-,-,-,1
ECTOTHIORHODOSINUS,1,-,-,-,-,-,-,-,-,-,1
ECTOTHIORHODOSPIRA,1,-,-,1,-,-,-,-,1,-,1
EDAPHOBACTER,1,-,-,-,-,-,-,-,-,-,1
EDWARDSIELLA ANGUILLIMORTIFERA,-,2,-,-,-,2,-,-,2,-,2
EDWARDSIELLA ICTALURI,2,2,-,2,-,2  3,-,-,2,-,1
EDWARDSIELLA TARDA,2,2,2,2,2,2  3,2,2,2,2,2
EFFLUVIIBACTER,1,-,-,-,-,-,-,-,-,-,1
EGGERTHELLA HONGKONGENSIS,2,-,-,-,-,-,-,-,-,-,2
EGGERTHELLA SINENSIS,2,-,-,-,-,-,-,-,-,-,2
EHRLICHIA CANIS,-,2,-,2,-,2,2,2,2,2,2
EHRLICHIA CHAFFEENSIS,-,2,-,2,-,2,2,2,2,2,2
EHRLICHIA EQUI,-,2,-,2,-,2,2,2,2,2,2
EHRLICHIA EWINGII,-,2,-,2,-,2,2,2,2,2,2
EHRLICHIA PHAGOCYTOPHILA,-,2,-,2,-,2,2,2,2,2,2
EHRLICHIA RISTICI,-,2,-,2,-,2,2,2,2,2,2
EHRLICHIA SENNETSU,-,2,-,2,2,2,2,2,2,3,2
EIKENELLA CORRODENS,2,2,2,2,2,2,2,2,2,2,2
ELIORAEA,1,-,-,-,-,-,-,-,-,-,1
ELIZABETHKINGIA MENINGOSEPTICA,2,2,2,-,-,-,2,-,-,-,2
ELYTROSPORANGIUM,1,-,-,-,-,-,-,-,-,-,1
EMPEDOBACTER BREVIS,2,2,-,2,-,-,-,-,2,-,2
EMTICICIA,1,-,-,-,-,-,-,-,-,-,1
ENHYGROMYXA,1,-,-,1,-,-,-,-,-,-,1
ENSIFER,1,-,-,1,-,-,-,-,1,-,1
ENTEROBACTER AEROGENES,2,2,1  2,2,2,2,2,2,2,2,2
ENTEROBACTER AMNIGENUS,2,2,1,2,2,2,2,2,2,2,2
ENTEROBACTER ASBURIAE,2,2,-,2,2,2,2,2,2,2,2
ENTEROBACTER CANCEROGENUS,2,-,-,2,2,2,2,2,2,2,2
ENTEROBACTER CLOACAE,2,2,1,2,2,2,2,2,2,2,2
ENTEROBACTER COWANII,2,-,-,2,2,2,2,2,-,2,2
ENTEROBACTER GERGOVIAE,2,2,-,2,2,2,2,2,2,2,2
ENTEROBACTER HORMAECHEI,2,2,-,2,2,2,2,2,2,2,2
ENTEROBACTER KOBEI,2,-,-,2,2,2,2,2,-,2,2
ENTEROBACTER SAKAZAKII,-,2,-,2,2,2,2,2,2,2,2
ENTEROBACTER TAYLORAE,-,2,-,-,2,2,2,2,-,2,2
ENTEROCOCCUS AVIUM,2,2,1,2,2,2,2,2,2,2,2
ENTEROCOCCUS DISPAR,2,2,-,2,2,2,2,2,2,2,2
ENTEROCOCCUS DURANS,2,2,1,2,2,2,2,2,2,2,2
ENTEROCOCCUS FAECALIS,2,2,2,2,2,2,2,2,2,2,2
ENTEROCOCCUS FAECIUM,2,2,2,2,2,2,2,2,2,2,2
ENTEROCOCCUS FLAVESCENS,-,2,-,2,2,2,2,2,2,2,2
ENTEROCOCCUS GALLINARUM,2,2,1,2,2,2,2,2,2,2,2
ENTEROCOCCUS HIRAE,2,2,1,2,2,2,2,2,2,2,2
ENTEROCOCCUS PSEUDOAVIUM,2,2,-,2,2,2,2,2,2,2,2
ENTEROCOCCUS RAFFINOSUS,-,2,1,2,2,2,2,2,2,2,2
ENTEROCOCCUS SERIOLICIDA,2,-,-,2,2,2,2,-,2,-,2
ENTEROCOCCUS RATTI,2,-,-,2,2,2,2,2,-,2,2
ENTEROCOCCUS SOLITARIUS,2,-,2,2,2,2,2,2,2,-,2
ENTEROCOCCUS VILLORUM,2,-,-,2,2,2,2,2,-,2,2
ENTEROVIBRIO,1,-,-,1,-,-,-,-,-,-,1
EPERYTHROZOON COCCOIDES,-,-,-,2,-,-,-,-,2,-,2
EPERYTHROZOON OVIS,-,-,-,-,-,-,-,-,2,-,2
EPERYTHROZOON PARVUM,-,2,-,2,-,OP,-,-,2,-,2
EPERYTHROZOON SUIS,-,-,-,-,-,-,-,-,2,-,2
EPERYTHROZOON WENYONII,-,-,-,-,-,-,-,2,-,,2
EPILITHONIMONAS,1,-,-,-,-,OP,-,-,-,-,1
EREMOCOCCUS,1,-,-,1,-,-,-,-,-,-,1
ERWINIA AMYLOVORA,1,-,-,1,-,-,-,-,2,-,1
ERWINIA CHRYSANTHEMI,-,-,-,-,-,-,-,-,2,-,2
ERWINIA HERBICOLA,-,2,-,-,-,-,-,-,-,-,2
ERYSIPELOTHRIX RHUSIOPATHIAE,-,2,2,2,2,2,2,2,2,2,2
ERYSIPELOTHRIX TONSILLARUM,2,-,1,-,-,-,-,1,-,-,1
ERYTHROBACTER,1,-,-,1,-,-,-,-,1,-,1
ERYTHROMICROBIUM RICHIA FERGUSONII,1,-,-,1,-,-,-,-,1,-,1
ESCHERICHIA ALBERTII,2,-,-,2,-,-,-,-,-,-,2
ESCHERICHIA COLI,2,2,1  2,1  2  3,2  3,2  3,2  3,2,2  3,2  3,2
ESCHERICHIA FERGUSONII,2,2,-,2,-,-,-,-,2,-,2
ESCHERICHIA HERMANNII,2,2,-,2,-,-,-,-,2,-,2
ESCHERICHIA VULNERIS,2,2,-,2,-,-,-,-,2,-,2
ETHANOLIGENENS,1,-,-,-,-,-,-,-,-,-,1
EUBACTERIUM AEROFACIENS,-,-,-,-,-,-,-,-,2,-,2
EUBACTERIUM BRACHY,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM COMBESII,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM CONTORTUM,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM INFIRMUM,-,-,-,2,-,-,-,-,2,-,2
EUBACTERIUM LIMOSUM,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM MINUTUM,2,-,-,2,-,-,-,-,2,-,2
EUBACTERIUM MONILIFORME,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM NITRITOGENES,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM NODATUM,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM SAPHENUM,-,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM SULCI,-,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM TARANTELLAE,2,2,-,2,-,2,-,-,2,-,2
EUBACTERIUM TENUE,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM TORTUOSUM,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM VENTRIOSUM,2,2,-,2,-,-,-,-,2,-,2
EUBACTERIUM YURII,-,2,-,2,-,-,-,-,-,-,2
EUDORAEA,1,-,-,-,-,-,-,-,-,-,1
EWINGELLA AMERICANA,2,2,-,2,-,-,-,-,2,-,2
EXCELLOSPORA,1,-,-,-,-,-,-,-,1,-,1
EXIGUOBACTERIUM AURANTIACUM,1,-,2,1,-,-,-,-,1,-,2
,,,,,,,,,,,NA
FAECALIBACTERIUM PRAUSNITZII,2,2,-,2,-,-,-,-,-,-,2
FAENIA,1,-,-,-,-,-,-,-,-,-,1
FALCIVIBRIO GRANDIS,1,2,-,2,-,-,-,-,2,-,2
FALCIVIBRIO VAGINALIS,1,2,-,2,-,-,-,-,2,-,2
FASTIDIOSIPILA,1,-,-,-,-,-,-,-,-,-,1
FERRIBACTER,1,-,-,-,-,-,-,-,-,-,1
FERRIMONAS,1,-,-,1,-,-,-,-,1,-,1
FERROBACILLUS,1,-,-,-,-,-,-,-,-,-,1
FERROPLASMA,1,-,-,1,-,-,-,-,-,-,1
FERVIDOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
FILIBACTER,1,-,-,1,-,-,-,-,1,-,1
FILIFACTOR ALOCIS,1,2,-,2,-,-,-,-,1,-,2
FILOBACILLUS,1,-,-,-,-,-,-,-,-,-,1
FILOMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
FINEGOLDIA MAGNA,2,2,1,2,-,-,-,-,-,-,2
FLAMMEOVIRGA,1,-,-,1,-,-,-,-,1,-,1
FLAVIMONAS ORYZIHABITANS,2,2,-,-,-,-,-,-,-,-,2
FLAVIRAMULUS,1,-,-,-,-,-,-,-,-,-,1
FLAVISOLIBACTER,1,-,-,-,-,-,-,-,-,-,1
FLAVOBACTERIUM BRANCHIOPHILUM,-,2,-,2,-,-,-,-,2,-,2
FLAVOBACTERIUM COLUMNARE,2,2,-,2,-,-,-,-,2,-,2
FLAVOBACTERIUM HYDATIS,2,2,-,2,-,-,-,-,2,-,2
FLAVOBACTERIUM JOHNSONAE,2,-,-,2,-,-,-,-,2,-,2
FLACOBACTERIUM MENINGOSEPTICUM,-,-,-,-,2,-,-,2,2,2,2
FLAVOBACTERIUM MIZUTAII,-,-,-,2,-,-,-,-,-,-,2
FLAVOBACTERIUM PSYCHROPHILA,2,2,-,2,-,-,-,-,2,-,2
FLAVOBACTERIUM YABUUCHIAE,-,2,-,-,-,-,-,-,2,-,2
FLECTOBACILLUS,1,-,-,1,-,-,-,-,1,-,1
FLEXIBACTER MARITIMUS,1,2,-,1,-,2,-,-,2,-,1
FLEXIBACTER OVOLYTICUS,1,2,-,1,-,2,-,-,2,-,1
FLEXIBACTER PSYCHROPHILUS,1,2,-,1,-,2,-,-,-,-,1
FLEXISTIPES,1,-,-,1,-,-,-,-,-,-,1
FLEXITHRIX,1,-,-,1,-,-,-,-,1,-,1
FLUORIBACTER BOZEMANAE,2,2,2,2,2,2,-,2,2,2,2
FLUORIBACTER DUMOFFII,2,2,-,2,-,-,-,-,2,-,2
FLUORIBACTER GORMANII,2,2,-,2,-,-,-,-,2,-,2
FLUVIICOLA,1,-,-,-,-,-,-,-,-,-,1
FODINICOLA,1,-,-,-,-,-,-,-,-,-,1
FORMIVIBRIO,1,-,-,1,-,-,-,-,1,-,1
FORMOSA,1,-,-,1,-,-,-,-,-,-,1
FRANCISELLA NOVICIDA,-,2,-,2,-,-,-,-,2,-,2
FRANCISELLA PHILOMIRAGIA,2,-,2,-,2,-,-,2,-,,2
FRANCISELLA PISCICIDA,2,-,-,-,-,-,-,-,-,-,2
FRANCISELLA TULARENSIS,-,3,-,3,2  3,2  3,2  3,2  3,3,2  3,3
FRANKIA,1,-,-,1,-,-,-,-,1,-,1
FRATEURIA,1,-,-,1,-,-,-,-,1,-,1
FRIEDMANNIELLA,1,-,-,1,-,-,-,-,1,-,1
FRIGORIBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
FRONDICOLA,1,-,-,-,-,-,-,-,-,-,1
FRONDIHABITANS,1,-,-,-,-,-,-,-,-,-,1
FRUCTOBACILLUS,1,-,-,-,-,-,-,-,-,-,1
FULVIMARINA,1,-,-,1,-,-,-,-,-,-,1
FULVIMONAS,1,-,-,1,-,-,-,-,-,-,1
FUNDIBACTER,1,-,-,1,-,-,-,-,-,-,1
FUSIBACTER,1,-,-,1,-,-,-,-,-,-,1
FUSOBACTERIUM ALOCIS,-,-,-,-,-,-,-,-,2,2,2
FUSOBACTERIUM EQUINUM,2,-,-,2,-,-,-,-,-,2,2
FUSOBACTERIUM GONIDIAFORMANS,2,2,-,2,-,-,-,-,2,2,2
FUSOBACTERIUM MORTIFERUM,2,2,-,2,-,-,-,-,2,2,2
FUSOBACTERIUM NAVIFORME,2,2,-,2,-,-,-,-,2,2,2
FUSOBACTERIUM NECROGENES,-,2,-,2,-,-,-,-,2,2,2
FUSOBACTERIUM NECROPHORUM,2,2,2,2,2,2,2,2,2,2,2
FUSOBACTERIUM NUCLEATUM,2,2,1,2,-,-,-,-,2,2,1
FUSOBACTERIUM PERIODONTICUM,-,2,-,2,-,-,-,-,2,2,2
FUSOBACTERIUM PRAUSNITZII,-,-,-,-,-,-,-,-,2,2,2
FUSOBACTERIUM RUSSII,-,2,-,2,-,-,-,-,2,2,2
FUSOBACTERIUM ULCERANS,2,2,-,2,-,-,-,-,2,2,2
FUSOBACTERIUM VARIUM,2,2,1,2,-,-,-,-,2,2,1
,,,,,,,,,,,NA
GAETBULIBACTER,1,-,-,-,-,-,-,-,-,-,1
GAETBULIMICROBIUM,1,-,-,-,-,-,-,-,-,-,1
GAFFKYA,1,-,-,-,-,-,-,-,-,-,1
GALLIBACTERIUM ANATIS,1,-,-,2,-,-,-,-,-,-,1
GALLICOLA,1,-,-,1,-,-,-,-,-,-,1
GARCIELLA,1,-,-,1,-,-,-,-,-,-,1
GARDNERELLA VAGINALIS,2,2,2,2,2,2,2,2,2,2,2
GARIAELLA,1,-,-,-,-,-,-,-,1,-,1
GELIDIBACTER,1,-,-,1,-,-,-,-,-,-,1
GEMELLA BERGERI,-,-,-,2,-,-,-,-,2,-,2
GEMELLA CUNICULI,2,-,-,2,-,-,-,-,-,-,2
GEMELLA HAEMOLYSANS,-,2,-,2,-,-,-,-,2,-,2
GEMELLA MORBILORUM,2,2,2,2,-,-,-,-,2,-,2
GEMELLA SANGUINIS,-,-,-,2,-,-,-,-,2,-,2
GEMINICOCCUS,1,-,-,-,-,-,-,-,-,-,1
GEMMATIMONAS,1,-,-,1,-,-,-,-,-,-,1
GEMMOBACTER,1,-,-,1,-,-,-,-,-,-,1
GEOALKALIBACTER,1,-,-,-,-,-,-,-,-,-,1
GEOBACILLUS,1,-,1,1,-,-,-,-,-,-,1
GEOBACTER,1,-,-,1,-,-,-,-,1,-,1
GEODERMATOPHILUS,1,-,-,1,-,-,-,-,1,-,1
GEOPSYCHROBACTER,1,-,-,-,-,-,-,-,-,-,1
GEORGENIA,1,-,-,1,-,-,-,-,-,-,1
GEOSINUS,1,-,-,-,-,-,-,-,-,-,1
GEOSPIRILLUM,1,-,-,-,-,-,-,-,-,-,1
GEOSPOROBACTER,1,-,-,-,-,-,-,-,-,-,1
GEOTHERMOBACTER,1,-,-,-,-,-,-,-,-,-,1
GEOTHRIX,1,-,-,1,-,-,-,-,-,-,1
GEOTRICHUM CANDIDUM,-,-,1,-,-,-,-,-,-,-,1
GEOTRICHUM CAPITATUM,-,-,1,-,-,-,-,-,-,-,1
GEOVIBRIO,1,-,-,1,-,-,-,-,-,-,1
GIESBERGERIA,1,-,-,-,-,-,-,-,-,-,1
GILLISIA,1,-,-,1,-,-,-,-,-,-,1
GLACIECOLA,1,-,-,1,-,-,-,-,-,-,1
GLACIIBACTER,1,-,-,-,-,-,-,-,-,-,1
GLOBICATELLA SANGUINIS,2,-,-,2,-,-,-,-,2,-,2
GLOBICATELLA SULFIDIFACIENS,2,-,-,2,-,-,-,-,-,-,2
GLUCONACETOBACTER,1,-,-,1,-,-,-,-,-,-,1
GLUCONOACETOBACTER,1,-,-,-,-,-,-,-,-,-,1
GLUCONOBACTER,1,-,-,1,-,-,-,-,1,-,1
GLYCOMYCES,1,-,-,1,-,-,-,-,1,-,1
GOODFELLOWIA,1,-,-,-,-,-,-,-,-,-,1
GOODFELLOWIELLA,1,-,-,-,-,-,-,-,-,-,1
GORDONA BRONCHIALIS,2,2,-,2,-,-,-,-,2,-,2
GORDONA EFFUSA,2,-,-,-,-,-,-,-,-,-,2
GORDONA KURUMENSIS,2,-,-,-,-,-,-,-,-,-,2
GORDONA MINIMA,2,-,-,-,-,-,-,-,-,-,2
GORDONA OTITIDIS,2,-,-,-,-,-,-,-,-,-,2
GORDONA SPUTI,2,2,-,2,-,-,-,-,2,-,2
GORDONA WRIGHTPATTERSONENSIS,2,-,-,-,-,-,-,-,-,-,2
GRACILIBACILLUS,1,-,-,1,-,-,-,-,-,-,1
GRACILIBACTER,1,-,-,-,-,-,-,-,-,-,1
GRAHAMELLA PEROMYSCI,-,2,-,-,-,-,-,-,-,-,2
GRAHAMELLA TALPAE,-,2,-,-,-,-,-,-,-,-,2
GRAMELLA,1,-,-,-,-,-,-,-,-,-,1
GRANULIBACTER,1,-,-,-,-,-,-,-,-,-,1
GRANULICATELLA ADIACENS,2,2,-,2,-,-,-,-,-,-,2
GRANULICATELLA ELEGANS,2,-,-,2,-,-,-,-,-,-,2
GRANULICOCCUS,1,-,-,-,-,-,-,-,-,-,1
GRANULOBACTER,1,-,-,-,-,-,-,-,-,-,1
GRIMONTIA HOLLISAE,2,2,-,2,-,-,-,-,-,-,2
GUGGENHEIMELLA,1,-,-,-,-,-,-,-,-,-,1
GULBENKIANIA,1,-,-,-,-,-,-,-,-,-,1
GULOSIBACTER,1,-,-,1,-,-,-,-,-,-,1
,,,,,,,,,,,NA
